city,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albuquerque(New Mexico),37070.453,37026.897,37344.986,37178.685,38505.467,39669.27,40800.578,41311.756,43087.65,45332.26,45055.535
Baton Rouge(Louisiana),43244.155,50493.014,52351.595,52394.891,58565.574,58296.202,53709.022,53032.349,57916.449,56021.453,52787.892
Bismarck(North Dakota),5143.733,5577.684,6468.246,6705.586,7402.681,7775.643,7423.536,7509.554,7581.651,7666.497,7509.735
Charlotte(n.c),112359.74,119986.73,130053.823,132613.851,140082.542,149619.312,157078.376,168758.726,175993.277,184482.639,184818.577
chicago(Illinois),523098.041,542384.78,570954.874,583070.72,609478.18,636938.865,647455.652,667153.495,701954.968,721906.95,692988.237
Columbus(Ohio),91044.036,95872.717,101853.495,106767.899,112174.074,116754.359,121360.811,126295.171,131461.913,137648.916,137259.944
Denver(Colorado),142517.164,147392.855,154899.048,164035.645,173826.485,184611.894,190857.987,199940.107,213146.127,227259.597,223145.76
Montana(state),38336.1,40995.1,42340.9,43687.9,45177.2,46604.1,45490.9,48439.5,50903.8,51789.3,51508.8
Houston(Texas),353397.184,382941.351,406972.648,429918.372,441959.625,461490.275,453323.711,473076.363,505889.766,509311.54,488164.627
Jacksonville(florida),58669.966,58994.346,60830.433,63804.05,66681.774,71009.831,74788.031,78977.582,83688.402,89388.127,91023.328
Las Vegas(Nevada),86533.192,88771.829,89890.207,93111.625,96952.928,104164.814,108924.516,113668.85,122797.372,131294.377,119386.931
Los Angeles,721432.807,742349.632,770616.431,799688.139,833317.955,882307.124,910277.065,957632.371,1006224.798,1055570.39,1007037.066
philadelphia,343539.465,351690.659,367778.658,377541.289,394728.109,407824.145,414883.706,418695.981,435423.852,450742.192,439055.118
Phoenix(Arizona),178397.036,185788.925,195823.019,201280.704,209291.466,219956.597,230743.32,243103.394,259286.475,276914.305,281004.837
new york,1288303.129,1312974.304,1400779.267,1445252.232,1507782.786,1570332.745,1638128.941,1690244.554,1790858.079,1872165.505,1809323.397
San Francisco,316779.481,329715.792,363995.871,382609.214,412207.012,443406.281,472395.545,519358.95,562046.311,595294.62,588335.543
Seattle(Washington),240147.409,251468.132,269458.587,285068.194,302314.756,320665.748,336256.816,360610.815,393634.702,419475.451,426939.963
Topeka(Kansas),9582.009,9950.025,10062.807,9805.047,10032.585,10122.478,10327.657,10395.88,10797.727,10575.421,10566.441
